12/22/2022 04:51:08 AM ----------------------------------------------------------------------------------------------------
12/22/2022 04:51:08 AM Name                                                                   Weight Shape                   Total Parameters               Trainable                     
12/22/2022 04:51:08 AM encoder.resnet.6.1.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.1.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.1.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.bn1.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.2.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.bn1.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.bn1.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.conv2.weight                                        torch.Size([256, 256, 3, 3])   589824                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.bn2.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.bn2.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.conv3.weight                                        torch.Size([1024, 256, 1, 1])  262144                         0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.bn3.weight                                          torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.3.bn3.bias                                            torch.Size([1024])             1024                           0                             
12/22/2022 04:51:08 AM encoder.resnet.6.4.conv1.weight                                        torch.Size([256, 1024, 1, 1])  262144                         0                             
