12/22/2022 04:44:49 AM ----------------------------------------------------------------------------------------------------
12/22/2022 04:44:49 AM Name                                                                   Weight Shape                   Total Parameters               Trainable                     
12/22/2022 04:44:49 AM encoder.resnet.0.weight                                                torch.Size([64, 3, 7, 7])      9408                           0                             
12/22/2022 04:44:49 AM encoder.resnet.1.weight                                                torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.1.bias                                                  torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.conv1.weight                                        torch.Size([64, 64, 1, 1])     4096                           0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.bn1.weight                                          torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.bn1.bias                                            torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.conv2.weight                                        torch.Size([64, 64, 3, 3])     36864                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.bn2.weight                                          torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.bn2.bias                                            torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.conv3.weight                                        torch.Size([256, 64, 1, 1])    16384                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.bn3.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.bn3.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.downsample.0.weight                                 torch.Size([256, 64, 1, 1])    16384                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.downsample.1.weight                                 torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.4.0.downsample.1.bias                                   torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.conv1.weight                                        torch.Size([64, 256, 1, 1])    16384                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.bn1.weight                                          torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.bn1.bias                                            torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.conv2.weight                                        torch.Size([64, 64, 3, 3])     36864                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.bn2.weight                                          torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.bn2.bias                                            torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.conv3.weight                                        torch.Size([256, 64, 1, 1])    16384                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.bn3.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.4.1.bn3.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.conv1.weight                                        torch.Size([64, 256, 1, 1])    16384                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.bn1.weight                                          torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.bn1.bias                                            torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.conv2.weight                                        torch.Size([64, 64, 3, 3])     36864                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.bn2.weight                                          torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.bn2.bias                                            torch.Size([64])               64                             0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.conv3.weight                                        torch.Size([256, 64, 1, 1])    16384                          0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.bn3.weight                                          torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.4.2.bn3.bias                                            torch.Size([256])              256                            0                             
12/22/2022 04:44:49 AM encoder.resnet.5.0.conv1.weight                                        torch.Size([128, 256, 1, 1])   32768                          0                             
