12/21/2022 08:47:59 PM ----------------------------------------------------------------------------------------------------
12/21/2022 08:47:59 PM Name                                                                   Weight Shape                   Total Parameters               Trainable                     
12/21/2022 08:47:59 PM encoder.resnet.0.weight                                                torch.Size([64, 3, 7, 7])      9408                           0                             
12/21/2022 08:47:59 PM encoder.resnet.1.weight                                                torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.1.bias                                                  torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.conv1.weight                                        torch.Size([64, 64, 1, 1])     4096                           0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.bn1.weight                                          torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.bn1.bias                                            torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.conv2.weight                                        torch.Size([64, 64, 3, 3])     36864                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.bn2.weight                                          torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.bn2.bias                                            torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.conv3.weight                                        torch.Size([256, 64, 1, 1])    16384                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.bn3.weight                                          torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.bn3.bias                                            torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.downsample.0.weight                                 torch.Size([256, 64, 1, 1])    16384                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.downsample.1.weight                                 torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.4.0.downsample.1.bias                                   torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.conv1.weight                                        torch.Size([64, 256, 1, 1])    16384                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.bn1.weight                                          torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.bn1.bias                                            torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.conv2.weight                                        torch.Size([64, 64, 3, 3])     36864                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.bn2.weight                                          torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.bn2.bias                                            torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.conv3.weight                                        torch.Size([256, 64, 1, 1])    16384                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.bn3.weight                                          torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.4.1.bn3.bias                                            torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.conv1.weight                                        torch.Size([64, 256, 1, 1])    16384                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.bn1.weight                                          torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.bn1.bias                                            torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.conv2.weight                                        torch.Size([64, 64, 3, 3])     36864                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.bn2.weight                                          torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.bn2.bias                                            torch.Size([64])               64                             0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.conv3.weight                                        torch.Size([256, 64, 1, 1])    16384                          0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.bn3.weight                                          torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.4.2.bn3.bias                                            torch.Size([256])              256                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.conv1.weight                                        torch.Size([128, 256, 1, 1])   32768                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.downsample.0.weight                                 torch.Size([512, 256, 1, 1])   131072                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.downsample.1.weight                                 torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.0.downsample.1.bias                                   torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.conv1.weight                                        torch.Size([128, 512, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.1.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.conv1.weight                                        torch.Size([128, 512, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.2.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.conv1.weight                                        torch.Size([128, 512, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.3.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.conv1.weight                                        torch.Size([128, 512, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.4.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.conv1.weight                                        torch.Size([128, 512, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.5.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.conv1.weight                                        torch.Size([128, 512, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.6.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.conv1.weight                                        torch.Size([128, 512, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.bn1.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.bn1.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.conv2.weight                                        torch.Size([128, 128, 3, 3])   147456                         0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.bn2.weight                                          torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.bn2.bias                                            torch.Size([128])              128                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.conv3.weight                                        torch.Size([512, 128, 1, 1])   65536                          0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.bn3.weight                                          torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.5.7.bn3.bias                                            torch.Size([512])              512                            0                             
12/21/2022 08:47:59 PM encoder.resnet.6.0.conv1.weight                                        torch.Size([256, 512, 1, 1])   131072                         0                             
